title,spor,ilişkiler,siyaset,seyahat,otomotiv,tv,anket,bilim,edebiyat,eğitim,ekonomi,ekşi-sözlük,haber,havacılık,magazin,moda,motosiklet,müzik,oyun,programlama,sağlık,sanat,sinema,spoiler,tarih,teknoloji,yeme-içme
the walking dead,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5 litre pet şişeye 5 6 lt mazot doldurmak,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engeli hakeden galatasaray düşmanları tam liste,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anatolian sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
deontay wilder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kemalistler sağcı mıdır solcu mudur sorunsalı,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hoşlanılan kız kadın hatun bayan sevgili seks,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 kasım 2018 serdar aziz e verilen ceza,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porno klasörünün ismini pornolarım koyan adam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milliyetçi hareket partisi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rte nin elindeki bahçeli kaseti,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alt epidermis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
